component_id,component_type_id,hex_nut_size,seat_angle,length,thread_size,thread_pitch,diameter,blind_hole,orientation,weight
C-1621,CP-025,20.64,NA,17,.687,16,NA,NA,No,0.015
C-1624,CP-025,34.92,NA,26.5,1.187,12,NA,NA,No,0.035
C-1623,CP-025,28.58,NA,23.5,1.000,14,NA,NA,No,0.044
C-1622,CP-025,23.81,NA,20,.812,16,NA,NA,No,0.036
C-1625,CP-025,41.28,NA,27.5,1.437,12,NA,NA,No,0.129
C-1626,CP-025,47.63,NA,27.5,1.687,12,NA,NA,No,0.154
C-1620,CP-025,17.46,NA,15,.562,18,NA,NA,No,0.016
C-1867,CP-025,57.15,NA,27.5,2.000,12,NA,NA,No,0.222
C-2029,CP-025,23.81,NA,20,.812,16,NA,NA,No,0.034
C-0579,CP-025,24,NA,20,.812,16,NA,NA,No,0.157
C-0580,CP-025,36,NA,26.5,1.187,12,NA,NA,No,0.109
C-0134,CP-025,17.46,NA,15,.562,18,NA,NA,No,0.016
C-0390,CP-025,23.81,NA,21,.812,16,NA,NA,No,0.034
C-2027,CP-025,34.92,NA,26.5,1.187,12,NA,NA,No,0.096
C-0337,CP-025,20.64,NA,16,.687,16,NA,NA,No,0.022
C-2030,CP-025,20.64,NA,17,.687,16,NA,NA,No,0.023
C-2025,CP-025,47.63,NA,27.5,1.687,12,NA,NA,No,0.153
C-1760,CP-025,41.28,NA,27.79,1.437,12,NA,NA,No,0.124
C-2028,CP-025,28.58,NA,24,1.000,14,NA,NA,No,0.052
C-0102,CP-025,24,NA,20,.812,16,NA,NA,No,0.027
C-1059,CP-025,28.58,NA,24,1.000,14,NA,NA,No,0.052
C-0097,CP-025,22,NA,17,.687,16,NA,NA,No,0.027
C-2026,CP-025,41.28,NA,27.5,1.437,12,NA,NA,No,0.128
C-0095,CP-025,30,NA,23.5,1.000,14,NA,NA,No,0.046
C-0261,CP-025,47.62,NA,27.8,1.687,12,NA,NA,No,0.153
C-0004,CP-026,15.88,37,17,.500,20,NA,NA,No,0.014
C-1202,CP-026,22.22,45,41.28,.750,16,NA,NA,No,0.045
C-1442,CP-026,57.15,37,36.1,1.875,12,NA,NA,No,0.343
C-1421,CP-026,25.4,37,24.9,.875,14,NA,NA,No,0.046
C-0448,CP-026,22.23,37,21.6,.750,16,NA,NA,No,0.032
C-0336,CP-026,25.4,37,24.6,.875,14,NA,NA,No,0.045
C-0308,CP-026,25.4,NA,24.6,.875,14,NA,NA,No,0.037
C-1952,CP-026,22.23,45,28.448,.750,16,NA,NA,No,0.045
C-1845,CP-026,14.29,37,15.8,.437,20,NA,NA,No,0.012
C-1577,CP-026,34.92,37,27.4,1.187,12,NA,NA,No,0.091
C-1384,CP-026,31.75,37,25.9,1.062,12,NA,NA,No,0.074
C-1200,CP-026,14.29,45,23.81,.437,20,NA,NA,No,0.025
C-1199,CP-026,19.05,NA,52.4,.625,18,NA,NA,No,0.023
C-0444,CP-026,38.1,37,28.7,1.312,12,NA,NA,No,0.111
C-0831,CP-026,50.8,37,31.2,1.625,12,NA,NA,No,0.255
C-1848,CP-026,31.75,37,26.2,1.062,12,NA,NA,No,0.083
C-1243,CP-026,17.46,37,18.5,.562,18,NA,NA,No,0.019
C-1927,CP-027,NA,NA,35,M10,1.50,20,No,No,0.07
C-1964,CP-027,NA,NA,20,M10,1.50,20,No,No,0.04
C-1969,CP-027,NA,NA,45,M10,1.50,20,No,No,0.09
C-1966,CP-027,NA,NA,40,M12,1.75,10.5,No,No,0.126
C-1963,CP-027,NA,NA,25,M10,1.50,20,No,No,0.05
C-1694,CP-027,NA,NA,40,.375,16,30,No,No,0.2
C-1318,CP-027,NA,NA,39,M10,1.50,20,Yes,No,NA
C-0720,CP-027,NA,NA,90,M12,1.75,25,No,No,0.222
C-0315,CP-027,NA,NA,40,.375,16,30,No,No,0.203
C-1316,CP-027,NA,NA,13,.375,16,19,No,No,0.021
C-0345,CP-027,NA,NA,23,M8,1.25,19,No,No,0.04
C-1980,CP-027,NA,NA,25,M10,1.50,25,No,No,0.084
C-1793,CP-027,NA,NA,30,M10,1.50,25,No,No,0.101
C-1580,CP-027,NA,NA,20.574,.375,16,15.875,No,No,0.021
C-0827,CP-027,NA,NA,1,.312,18,0.625,No,No,0.03
C-1968,CP-027,NA,NA,30,M10,1.50,20,No,No,0.059
C-1967,CP-027,NA,NA,25,M10,1.50,25,No,No,0.085
C-0321,CP-027,NA,NA,15,M8,1.25,16,No,No,0.02
C-1320,CP-027,NA,NA,15,M6,1.00,12,No,No,0.011
C-1965,CP-027,NA,NA,58.5,M10,1.50,20,No,No,0.11
C-0035,CP-027,NA,NA,12,.250,20,12,No,No,0.009
C-1530,CP-027,NA,NA,22.225,.500,13,25.4,No,No,0.067
C-1962,CP-027,NA,NA,21,M10,1.50,25,No,No,0.071
